ciudad,año,temp_media_anual,tipo
ORURO,2001,9.216666666666667,Histórico
ORURO,2002,9.758333333333333,Histórico
ORURO,2003,9.333333333333334,Histórico
ORURO,2004,9.625,Histórico
ORURO,2005,9.133333333333333,Histórico
ORURO,2006,9.379166666666666,Histórico
ORURO,2007,9.725,Histórico
ORURO,2008,8.84400593272511,Histórico
ORURO,2009,9.32008064516129,Histórico
ORURO,2010,10.1,Histórico
ORURO,2011,9.827227342549923,Histórico
ORURO,2012,9.85,Histórico
ORURO,2013,10.033333333333333,Histórico
ORURO,2014,10.083333333333334,Histórico
ORURO,2015,9.729166666666666,Histórico
ORURO,2016,10.041666666666666,Histórico
ORURO,2017,10.041666666666666,Histórico
ORURO,2018,9.9,Histórico
ORURO,2019,10.341666666666667,Histórico
ORURO,2020,11.055555555555555,Histórico
ORURO,2021,10.275,Histórico
ORURO,2022,9.29437323573985,Histórico
ORURO,2023,10.278394939054033,Histórico
ORURO,2024,11.52645507218032,Histórico
ORURO,2025,10.207963374207674,Histórico
ORURO,2026,12.8528333813364,Histórico
ORURO,2026,9.698325,Predicción
ORURO,2027,10.705466666666666,Predicción
ORURO,2028,10.770433333333335,Predicción
ORURO,2029,10.835416666666667,Predicción
ORURO,2030,10.900366666666665,Predicción
POTOSÍ,1990,6.908333333333334,Histórico
POTOSÍ,1991,8.041666666666666,Histórico
POTOSÍ,1992,6.327272727272727,Histórico
POTOSÍ,1993,,Histórico
POTOSÍ,1994,7.108333333333333,Histórico
POTOSÍ,1995,8.85,Histórico
POTOSÍ,1996,7.672727272727273,Histórico
POTOSÍ,1997,7.833333333333333,Histórico
POTOSÍ,1998,8.225,Histórico
POTOSÍ,1999,7.858333333333333,Histórico
POTOSÍ,2000,7.325,Histórico
POTOSÍ,2001,6.408333333333334,Histórico
POTOSÍ,2002,6.2250000000000005,Histórico
POTOSÍ,2003,5.2,Histórico
POTOSÍ,2004,8.133333333333333,Histórico
POTOSÍ,2005,8.125,Histórico
POTOSÍ,2006,8.416666666666666,Histórico
POTOSÍ,2007,8.908333333333333,Histórico
POTOSÍ,2008,8.052083303270804,Histórico
POTOSÍ,2009,8.32607080275468,Histórico
POTOSÍ,2010,9.200000000000001,Histórico
POTOSÍ,2011,8.234104393115942,Histórico
POTOSÍ,2012,8.5,Histórico
POTOSÍ,2013,8.116666666666667,Histórico
POTOSÍ,2014,8.5625,Histórico
POTOSÍ,2015,8.445833333333333,Histórico
POTOSÍ,2016,9.424999999999999,Histórico
POTOSÍ,2017,8.766666666666667,Histórico
POTOSÍ,2018,8.541666666666666,Histórico
POTOSÍ,2019,9.954545454545455,Histórico
POTOSÍ,2020,10.141666666666667,Histórico
POTOSÍ,2021,9.89,Histórico
POTOSÍ,2022,9.576964765745009,Histórico
POTOSÍ,2023,10.200526485593207,Histórico
POTOSÍ,2024,11.096182972586513,Histórico
POTOSÍ,2025,11.015827098451544,Histórico
POTOSÍ,2026,12.225728699050524,Histórico
POTOSÍ,2026,10.68895,Predicción
POTOSÍ,2027,11.286875,Predicción
POTOSÍ,2028,11.395908333333333,Predicción
POTOSÍ,2029,11.50255,Predicción
POTOSÍ,2030,11.609458333333334,Predicción
SANTA CRUZ,1990,24.05,Histórico
SANTA CRUZ,1991,24.304166666666664,Histórico
SANTA CRUZ,1992,23.462500000000002,Histórico
SANTA CRUZ,1993,24.058333333333334,Histórico
SANTA CRUZ,1994,25.025000000000002,Histórico
SANTA CRUZ,1995,24.579166666666666,Histórico
SANTA CRUZ,1996,23.90416666666667,Histórico
SANTA CRUZ,1997,25.3,Histórico
SANTA CRUZ,1998,24.775000000000002,Histórico
SANTA CRUZ,1999,24.333333333333332,Histórico
SANTA CRUZ,2000,24.175,Histórico
SANTA CRUZ,2001,24.45,Histórico
SANTA CRUZ,2002,24.583333333333332,Histórico
SANTA CRUZ,2003,24.349999999999998,Histórico
SANTA CRUZ,2004,24.458333333333332,Histórico
SANTA CRUZ,2005,24.15833333333333,Histórico
SANTA CRUZ,2006,24.641666666666666,Histórico
SANTA CRUZ,2007,24.191666666666666,Histórico
SANTA CRUZ,2008,24.200388085527127,Histórico
SANTA CRUZ,2009,24.558300051203275,Histórico
SANTA CRUZ,2010,24.724999999999998,Histórico
SANTA CRUZ,2011,25.2672363031234,Histórico
SANTA CRUZ,2012,24.808333333333334,Histórico
SANTA CRUZ,2013,24.291666666666668,Histórico
SANTA CRUZ,2014,24.40416666666667,Histórico
SANTA CRUZ,2015,24.837500000000002,Histórico
SANTA CRUZ,2016,24.383333333333336,Histórico
SANTA CRUZ,2017,24.8,Histórico
SANTA CRUZ,2018,24.108333333333334,Histórico
SANTA CRUZ,2019,24.516666666666666,Histórico
SANTA CRUZ,2020,25.46666666666667,Histórico
SANTA CRUZ,2021,24.633333333333336,Histórico
SANTA CRUZ,2022,25.071712749615973,Histórico
SANTA CRUZ,2023,25.828359486731287,Histórico
